user_id,signup_date,country,plan_type,monthly_fee,days_active_last_30,sessions_last_30,support_tickets_last_30,payments_failed_last_90,avg_session_duration,feature_usage_score,last_login_days_ago,churn
1,2026-01-07,US,standard,18.34,16,32,1.0,0,29.15,48.16,10,0
2,2024-05-21,FR,standard,19.18,8,22,3.0,1,21.69,16.65,15,0
3,2024-09-02,US,basic,10.4,3,7,2.0,0,15.29,12.35,8,0
4,2025-03-09,US,standard,19.05,5,14,,1,,23.36,27,0
5,2025-03-14,IN,basic,9.57,8,9,,2,36.41,31.72,13,0
6,2024-03-09,FR,standard,20.65,16,33,0.0,1,26.47,52.48,8,0
7,2026-01-10,ES,standard,19.47,13,14,1.0,2,41.46,46.74,9,0
8,2024-07-27,DE,basic,10.33,6,15,2.0,1,37.19,20.33,18,1
9,2025-10-01,IN,basic,12.38,10,26,0.0,0,35.55,33.63,7,0
10,2026-01-03,FR,standard,19.73,1,2,6.0,0,33.5,2.83,12,0
11,2024-12-22,IN,basic,11.76,5,5,1.0,1,14.52,13.45,22,0
12,2023-11-28,BR,premium,40.83,9,21,1.0,0,27.5,36.48,19,0
13,2024-06-23,FR,standard,17.79,4,3,0.0,1,29.27,10.51,16,0
14,2024-06-01,ES,standard,18.34,3,12,0.0,0,25.63,8.46,14,0
15,2024-07-09,DE,basic,8.74,24,31,1.0,0,55.87,72.03,5,0
16,2024-05-11,US,standard,18.71,14,21,3.0,0,28.9,41.77,14,0
17,2025-01-03,IN,premium,39.85,6,16,2.0,1,24.51,27.22,14,0
18,2025-12-04,NL,basic,10.91,15,36,1.0,0,35.87,44.61,15,0
19,2024-03-25,US,basic,11.87,16,23,2.0,1,33.23,,7,0
20,2025-02-27,FR,basic,10.45,17,43,2.0,0,25.33,44.31,7,0
21,2025-01-14,NL,basic,9.32,25,70,1.0,0,41.21,67.75,6,0
22,2025-05-07,IN,standard,16.87,9,18,3.0,1,23.81,29.84,17,0
23,2025-10-18,ES,basic,10.1,13,38,0.0,0,41.93,34.91,12,0
24,2024-01-09,BR,standard,20.03,15,26,,0,33.42,52.98,13,0
25,2024-05-15,IN,basic,10.26,11,17,0.0,0,34.34,24.66,12,0
26,2024-09-11,DE,basic,13.15,25,83,0.0,0,53.86,83.4,16,0
27,2025-04-09,ES,basic,11.85,16,57,0.0,2,27.98,50.78,12,0
28,2024-04-09,DE,premium,41.17,14,22,0.0,3,33.69,,10,0
29,2024-12-06,IN,standard,18.55,7,23,3.0,1,,23.24,13,0
30,2025-03-05,FR,basic,9.22,8,11,0.0,0,33.99,28.29,19,0
31,2025-02-27,BR,standard,19.85,11,28,1.0,0,27.37,32.18,12,0
32,2025-09-09,IN,basic,8.83,20,58,2.0,0,33.14,71.55,7,0
33,2026-01-04,BR,basic,10.74,17,38,1.0,3,45.69,59.27,6,0
34,2024-11-28,NL,basic,10.53,9,16,0.0,0,26.75,23.32,12,0
35,2024-02-12,FR,premium,38.36,22,59,1.0,0,45.18,75.22,5,0
36,2026-01-29,IN,standard,21.79,20,27,0.0,0,38.82,52.74,11,0
37,2024-03-09,DE,standard,20.14,3,16,1.0,0,27.57,0.0,11,1
38,2024-04-04,FR,basic,7.4,12,19,3.0,1,47.1,24.69,10,0
39,2025-07-28,FR,basic,9.91,19,33,2.0,0,37.84,62.7,9,0
40,2024-09-22,US,standard,20.41,7,26,0.0,1,29.59,28.84,13,0
41,2025-11-02,US,basic,11.45,1,3,0.0,2,10.04,5.5,13,1
42,2024-06-04,IN,premium,39.48,23,56,0.0,1,54.25,75.61,10,0
43,2024-07-24,IN,standard,21.23,9,15,1.0,0,32.69,27.2,16,1
44,2025-05-21,IN,basic,10.27,19,21,2.0,0,30.91,37.22,9,0
45,2026-01-25,US,standard,18.02,3,5,2.0,2,24.15,7.34,17,0
46,2023-12-02,DE,premium,37.87,19,28,0.0,1,38.19,49.24,7,0
47,2025-03-03,US,basic,11.67,12,26,2.0,1,23.47,33.61,6,0
48,2024-02-07,PL,standard,21.78,9,27,4.0,0,40.31,28.52,13,0
49,2024-08-13,NL,premium,40.47,27,81,0.0,0,52.93,74.68,5,0
50,2024-05-17,DE,basic,12.23,11,27,1.0,1,35.57,17.73,23,1
51,2024-06-02,IN,premium,41.57,13,17,1.0,0,29.08,41.12,9,0
52,2025-10-07,US,basic,11.02,13,41,1.0,1,30.42,41.47,14,0
53,2025-05-13,DE,standard,18.62,21,66,1.0,0,42.8,60.36,8,0
54,2025-02-12,US,standard,22.59,5,13,2.0,1,31.27,21.46,7,0
55,2025-01-16,DE,standard,20.79,12,44,1.0,0,34.86,49.41,12,0
56,2026-02-15,IN,standard,19.41,5,8,4.0,0,15.77,11.92,15,1
57,2024-12-05,NL,standard,18.99,10,18,5.0,0,35.8,33.41,14,0
58,2025-11-11,US,basic,10.38,13,34,1.0,0,23.72,41.5,13,0
59,2024-06-17,BR,basic,7.48,14,28,1.0,0,,30.45,12,0
60,2024-08-08,IN,basic,11.04,14,33,2.0,0,35.06,49.24,15,0
61,2024-01-13,ES,standard,18.56,14,32,0.0,0,22.88,48.91,14,0
62,2024-06-16,IN,basic,10.55,24,45,0.0,1,33.18,77.72,5,0
63,2025-05-11,DE,basic,9.21,9,21,1.0,2,41.31,26.61,16,1
64,2023-12-05,IN,premium,39.59,2,8,0.0,1,33.54,3.55,19,1
65,2025-04-02,DE,basic,8.85,10,6,1.0,0,45.91,33.18,16,0
66,2025-06-15,ES,basic,9.75,14,54,0.0,0,36.95,50.92,11,0
67,2024-01-28,FR,basic,12.82,7,19,0.0,0,32.85,30.32,13,0
68,2025-05-07,IN,basic,12.07,9,16,3.0,1,31.3,29.44,13,0
69,2026-01-18,US,standard,20.52,14,16,0.0,0,26.97,36.0,13,0
70,2025-02-10,FR,basic,9.95,22,59,0.0,2,49.32,63.56,7,0
71,2024-05-02,NL,basic,11.26,11,32,1.0,0,43.55,39.01,7,0
72,2025-10-12,IN,premium,41.68,19,41,0.0,0,42.98,52.71,6,0
73,2025-02-16,FR,standard,18.75,21,34,1.0,0,35.88,77.76,10,0
74,2025-12-02,ES,standard,19.87,4,8,3.0,1,27.88,18.7,16,0
75,2024-08-05,NL,premium,37.26,15,44,0.0,1,25.84,31.87,7,0
76,2025-02-05,DE,premium,41.67,15,23,1.0,1,31.18,42.64,9,0
77,2025-06-11,BR,basic,13.09,6,249,0.0,0,233.11,32.3,15,0
78,2025-09-09,FR,standard,20.11,15,51,1.0,1,26.29,49.04,12,0
79,2024-11-19,IN,standard,16.8,3,1,0.0,0,40.33,3.72,8,0
80,2024-08-20,DE,basic,10.9,4,11,,0,32.46,,17,0
